sentence	sentiment
In this regard it will be necessary to position the UKGM even stronger as a maximum care hospital also beyond its region and to increase in a targeted way the cooperation with basic and standard care hospitals. 	1
About MasterCard Worldwide MasterCard Worldwide advances global commerce by providing a critical economic link between financial institutions, businesses, cardholders and merchants worldwide. 	1
-- The CEO of Pongs & Zahn AG, Berlin, has made a decision today to acquire 90 % of a medium-sized German manufacturer of high-quality plastic compounds. 	0
The group publishes under 13 different labels, which span its full range of market segments and product areas. 	1
The total of cloud subscriptions & support revenue and software support revenue reached 69 % share of total revenue in the first quarter 2016. 	1
At the same time, Grammer AG was able to improve the terms and conditions of financing in its favor, while expanding the creditor base. 	1
Among other things, the forfaiting portfolio originating in Mexico increased continually, which will compensate for the expected decline in the forfaiting portfolio originating from Iran. 	1
By this strategic participation the Amadeus Group extends its unique positioning in the market to be a highly specialised human resource services and solution provider with a complete value chain. 	1
As part of the repositioning and product range streamlining, the management also consciously refrained from entering into low-margin revenues in the first half of 2010. 	1
We are looking forward to working in a Group of companies that operates exclusively within the bakery ingredients industry. 	1
In addition, the Company has built enhanced sales capability in all three businesses and related support functions and strengthened the Finance and back office functions. 	1
The Interim Report also explained that a positive development of the activities in Russia as well as a relatively stable exchange rate of the Russian rouble against the euro would be an important prerequisite for attaining those targets. 	0
The Sixt Leasing AG is the parent company of the Leasing Business Unit, under which all activities of private and corporate customer leasing as well as fleet management are subsumed. 	1
The proportion of broadband customers increased from 24 percent in the first quarter of the year to 25 percent in the second quarter. 	1
The program is based on the retained earnings in the balance sheet of Daimler AG. 	1
A committee of the Supervisory Board established for these purposes granted its approval. 	1
After the intended changes in the shareholding structure became apparent, Mr. Rainer Laufs, chairman of the supervisory board, had developed criteria for suitable substitute candidates for the supervisory board. 	1
In addition, internal accounting activities will be returned to a cost-efficient level. 	1
Among other things, HAITEC AG intends to acquire from Bridgepoint Capital Ltd., London 100 % of the capital of the autinform Group companies, comprising autinform AG and its direct and indirect subsidiaries, and to integrate these as independent subsidiaries in HAITEC AG. 	1
Shareholders approved the appointment of the following directors to the future EADS Board of Directors: Manfred Bischoff, Ralph D. Crosby, Tom Enders (Executive Member), Hans-Peter Keitel, Hermann-Josef Lamberti, Anne Lauvergeon, Lakshmi N. Mittal, Sir John Parker, Michel Pébereau, Josep Piqué i Camps, Denis Ranque, and Jean-Claude Trichet. 	1
A sales and marketing campaign for products with a high income potential has been started in order to improve the earnings situation. 	1
SAP expects the conversion to become effective during the course of June 2001. 	1
Over the past fiscal year technical performance has been further optimized and plant efficiency improved. 	1
Both companies' know-how supplements the existing spectrum of services and products. 	1
Apart from the second best result, 2005 will go down in the history of our company as the year of new product developments. 	1
With the transaction, the percentage of Nemetschek shares in free float increases from 30.9 % to around 47.5 %. 	1
In 2005, the acquisition will not contribute significantly to consolidated revenues and earnings. 	1
They will both continue to be associated with the company as shareholders and consultants. 	1
Following this placement, CEWE will still hold at least 205.667 of its own shares. 	1
Furthermore, the Executive Board intends to have a floor in the amount of EUR 1.00 per share with dividend entitlement with respect to the dividends of the following financial years and otherwise pursues a sustainable dividend policy based on a 40 to 60 per cent pay-out ratio of the adjusted net profit. 	1
Deutsche Börse AG has already informed about this matter by way of an ad hoc disclosure on 9 January 2013. 	1
The increase compared to the same period last year is driven by improved performance at Airbus Commercial, Eurocopter and Astrium. 	1
BayWa AG views this as an important step in accelerating the process of building up its renewable energies business. 	1
Sales revenues with video stores increased by round two-thirds during the first nine months. 	1
A precondition for such a placement will be a sufficiently attractive capital market environment. 	1
----- D.Logistics shows satisfactory development after nine months Hofheim, November 21, 2001. 	0
EBIT Outlook 2010 Mercedes-Benz Cars expects an EBIT of 2,5 to 3 billion EUR from ongoing business. 	1
Prospects for 2014: The Volkswagen Group will press ahead with its product initiative across all brands in 2014, and we will modernize and expand our offering by introducing attractive new vehicles. 	1
Besides the planned share buybacks, the company intends to use these funds primarily for organic as well as value accretive external growth. 	1
The Supervisory Board also agreed to decide the re-election of Stefan Lauer for a further five years as early as legally possible. 	1
In a first step, a non-cash capital increase through the issue of 857,067 new shares was resolved. 	0
This is approximately one third more than in the comparable period last year. 	1
The grounds for adjusting the forecast were the operational performance during the first half of the year, which was substantially better than anticipated at the start of the period, and the expectation that performance will continue to be good in the second half of 2017. 	1
In addition, UET Group and CCS Group have signed a Letter of Intent, in which the sale of essential assets of NewTal Elektronik + Systeme was agreed. 	1
With this participation Drillisch is building a strategic position on the German MSP market currently in the process of consolidation. 	1
Deutsche Telekom is aiming to achieve a level of net debt by the end of 2003 which equals to roughly three times the EBITDA expected for the full 2003 financial year. 	1
This means the optimisation of personnel, and the drastic reduction of overhead costs. 	1
The Supervisory Board has appointed Dr. Manzouri as member of the Board of Management, this appointment becoming effective when the cash capital increase has been implemented.	0
This mechanism is widely applied by Dutch companies and serves to preserve the Company's present ability to act in specific scenarios in the interest of QIAGEN shareholders, and indirectly our other stakeholders.	1
The group also has an IBM Topseller Online Shop.	1
This press release does not constitute an offer to sell or a solicitation of an offer to purchase any securities in the United States.	1
On an annualized basis, the spending reductions are on target to meet or exceed the Company's forecast spending reduction targets.	1
Approval of the control agreement by the Corporate Management and by the General Assembly of Siemens Beteiligungen Inland GmbH has yet to be obtained.	0
For fiscal 2010, the Management Board of Wirecard AG, taking account of the macroeconomic risks still prevailing, has forecast EDITDA in a bandwidth from 70 to 75 million euros.	0
PETROTEC AG: Tax authorities confirm that restructuring event in 2010 does not impose corporate income tax on Petrotec Borken, 10 December 2014 - With ad-hoc announcement dated 9 November 2012, Petrotec AG had announced that the local tax authorities had assessed income tax payments for the fiscal year 2010 against Petrotec AG, amounting to approximately EUR 900,000.	0
Expansion of our portfolio to include more standard products has also continued in 2010 with our launch of new standard product families.	1
Following the difficult financial year 2000, ArtStor which now has a nationwide sales organisation and a portfolio of around 1,600 customers these days is well placed for the curent financial year.	1
In Germany, temporary short-time work will be introduced in the internal divisions.	0
The presentation for the conference will also be available on ADVA's website in the same location.	1
A new syndicated loan agreement with a credit volume of EUR 100 million and a term until 31.12.2017 was completed together with the lending banks.	0
Commenting on the drill results, Stephen Kay, President/CEO of IMZ said, Converse is a major gold deposit, in a mining-friendly jurisdiction and in a great location in terms of infrastructure.	1
The Design business unit performed particularly well, with an increase in sales of around 10 %, which was primarily due to organic growth.	1
This represents growth of 137 % by comparison with the 1st quarter of 2000 (EUR 4.99 million).	1
After the repurchase there are 110.280.000 ordinary shares and 36.760.000 preference shares in circulation.	1
The agreement significantly expands the nature and scope of the initial collaboration that was initially entered into in 2009 between Oasmia and Abbott regarding these products.	1
We are convinced that Central and Eastern Europe will continue to be one of the most in-teresting economic regions and are optimistic about the further development of the reorganised Erste Bank Group.	1
Binding purchase agreements are in preparation.	1
These are used for diseases of the immune and haematopoietic systems.	1
The board is authorized to adjust the articles of association.	1
artnet AG: Management Board and Supervisory Board Recommend Shareholders Not To Accept the Bid Made by Redline Capital Management S.A. Berlin, September 19, 2012-The Management Board and the Supervisory Board of artnet AG have agreed upon their reasoned statement pursuant to section 27 of the German Securities Acquisition and Takeover Act (WpÃœG) today regarding the voluntary public takeover bid published by Redline Capital Management S.A. on August 31, 2012.	0
This impairment has a negative impact of EUR 8.1 million on XING AG's annual accounts and of EUR 7.1 million on XING AG's IFRS consolidated group financial statements.	0
Commercial Aircraft EBIT * before one-off reached EUR 1,780 million (9m 2013: EUR 1,712 million (1)), driven by operational improvement, including progress on the A380 programme towards breakeven, and the favourable evolution of maturing U.S. dollar hedges despite higher research and development expenses and A350 XWB support costs.	1
By the end of June 2010, EADS' order book stood at EUR 454.5 billion (year-end 2009: EUR 389.1 billion), reflecting increases at Airbus and Astrium.	1
----- Annual financial statement approved mobilcom AG's supervisory board approved the annual financial statement on its meeting today.	1
The earnings per share amount to 0.77 EUR (previous year: -1,52 EUR).	1
EADS expects Airbus to capture between 300 and 400 new gross orders in 2009, which is challenging taking into account the current market conditions.	1
Considering these developments the management board assumes Vivanco Gruppe AG to achieve a scarcely balanced EBITDA in the fiscal year 2006.	0
The Information Services and Information Technology segments were nearly even in sales with 33.5 million euros and 35.2 million euros, respectively, in EBIT, Information Services grew 65 percent to 12.9 million euros, and Information Technology 79 percent, to 24.4 million euros.	1
In overall terms, ALNO is retaining the forecast that it issued as part of its 2010 annual financial statements of an improvement in full-year consolidated EBITA compared with the figure of around EUR 1.0 million that was reported for 2010.	1
These results will be published on April 28, 2001.	1
The proceeds from the transaction are intended to finance the further internal and external growth of Ringmetall and to form the basis for further corporate acquisitions.	1
Based on a one month average share price of Erste Group of EUR 25.69, the transaction values BCR at a price/book multiple of 1.26 x, in line with market valuations for Romanian and CEE banks.	1
The Net Cash position of EUR 11.9 billion is higher than anticipated, thanks to better cash management and higher order intake.	1
Any additional funding shall be on terms and conditions similar to the Loan Agreement (particularly at the same conversion rate and the same maturity date) and acceptable to the parties.	0
Earnings decreased primarily because EBIT in the first quarter of 2007 included a special gain of $ 1,563 million related to the transfer of EADS shares.	0
----- MorphoSys and CAT Settle Patent Disputes MorphoSys AG (Neuer Markt: MOR) and Cambridge Antibody Technology (LSE: CAT, NASDAQ: CATG) today announced that they have agreed to settle all patent disputes between the two companies.	1
Thereby PixelNet AG will be the exclusive partner in the e-photography and the m-photography sectors.	1
Due to still pending regulatory approval for certain functions and the subdued trend on the US options market, the probability that an impairment loss will be recognized on the other intangible assets acquired as part of the acquisition of ISE has increased in the third quarter 2010.	1
Overall for 2013, and subject to the continued execution of its turnaround plan, the Company expects that operating losses before interest, tax, depreciation and amortization deductions will be below CHF10 million compared to CHF12.9 million in 2012.	0
With the slight dividend increase, a dividend return of 1.23 % is achieved as at the closing date, 31 December 2016.	1
In addition to its strong position in Spain, eConozco also boasts significant usage and membership from South American users.	1
It also selects and trains the crews, and is building an ever growing community of experts and supporters that follow the progress of the mission and contribute to it.	1
Taking into account the tighter capital regulations under Basel 3 which shall be applicable from next year onwards, Commerzbank continues to expect a Core Tier 1 ratio of at least 10 % as of January 1, 2013.	0
DATAGROUP SE has successfully concluded its capital increase announced yesterday.	0
----- INDUS reports record revenue of more than DM one billion Bergisch-Gladbach, Germany, March 28, 2001 - INDUS Holding AG (SIN 620010), which is traded on the SMAX, the quality segment for small caps of the German Stock Exchange, posted another significant increase in revenues and earnings last year.	1
In the event of the complete placement of shares, the capital increase will result in net issuing proceeds of approximately EUR 30 million.	0
---------------------------------------------------------------------- Infineon to sell Wireline Communications Business to U.S. Investor, The Transaction marks a further step in the refinancing and strategic-focusing process Neubiberg, Germany - July 7, 2009 - Infineon Technologies AG announces it has agreed to sell its Wireline Communications (WLC) business to an affiliate of U.S. based investor Golden Gate Capital for Euro 250 million.	1
----- ElringKlinger AG - higher dividend The Supervisory Board of ElringKlinger AG, Dettingen/Erms, decided on March 26, 2004 to propose to the General Shareholder Assembly on June 2, 2004 an increase of dividend from 2,50 EUR to 3,00 EUR per share for the FY 2003.	1
Northern Germany and Saxony form the regional focus of the portfolio, so that the properties can be managed cost-effectively by the TAG group's existing offices in Hamburg and Leipzig.	1
Particular emphasis was put on the development of the design and the user interface for leasing and sale of PC games.	1
The Company does not intend to register any portion of the offering in the United States or to conduct a public offering of Shares in the United States.	1
With the cash generated by the capital increase the company will improve its equity structure and reduce liabilities.	0
As of 06/30/2002, the Group's EBIT amounted to EUR -4.9 million (2001: EUR 2.6 million).	0
In addition, in the event that the program is successfully transferred, it is planned that MediGene will participate in the increase of value of the new company as a shareholder.	1
Deutsche Wohnen SE (`` Deutsche Wohnen'' or the `` Company''), placed new convertible bonds maturing in January 2026 with an aggregate nominal amount of EUR 800 million, divided into 8,000 bonds in a nominal amount of EUR 100,000 each (`` New Convertible Bonds'').	0
The cash consumption of provisions taken over recent years will also weigh on the cash flow.	0
BayWa AG today signed an agreement for the acquisition of 60 % of the shares in Bohnhorst Agrarhandel GmbH, Steimbke.	0
As part of a random sampling examination conducted by the Deutsche Prüfstelle für Rechnungslegung e.V. (the FREP) related to the prior year's annual financial statements, the view has been taken by FREP that the allowance for losses on loans and advances in the amount of some EUR90 million that accumulated in the first nine months of 2009 should have been taken into consideration at the end of 2008.	0
It was also able to achieve major growth with existing customers.	1
Through the company, Jack White continues his 35-year success story in the music business, producing and releasing music recordings with various artists, and acquiring master rights from other producers.	1
In the medium term, New Value plans to further expand its portfolio and significantly increase its investment volume from CHF 80 million currently.	1
Daimler sells its products in nearly all the countries of the world and has production facilities on five continents.	1
Tivion combines deep impact of TV with direct interactive response of web-ads and allows very intelligent and accepted ways of advertising.	1
Approximately one third of the capital increase was implemented by converting loans provided to the group by its major shareholder during 2011 and 2012 into equity, to further strengthen the company's balance sheet.	0
Clearstream believes the Havlish complaint against it to be without merit.	0
The share buyback will be conducted in compliance with the terms of trade detailed in Article 5 of Commission Regulation (EC) No. 2273/2003 of December 22, 2003.	1
The Board of Directors therefore decided to revaluate the fixed assets.	0
The acquisition of Graphisoft, moreover, played an important role in the increase in the value of the company.	1
The complete interim report for the first half of 2011 will be published on 18 August 2011.	1
The following represents the main changes compared with the company's assumptions from May 2007: anticipated positive effects from wider margins in the power generation business will be partially mitigated by anticipated lower electricity and gas sales volume due to the economic crisis, adverse effects from the regulation of electricity and gas networks in Germany, negative currency-translation effects, and lower anticipated earnings contributions from the company's new market units.	0
Despite these very difficult framework conditions MLP generated total revenues of EUR 597.7 million in 2008 (2007: EUR 629.8 million), thus almost equalling the record figure achieved in the previous year.	1
A reliable assessment of the scale of these irregularities is not yet possible.	0
Due to the highly seasonal nature of the television and thus producer markets, the second half-year will clearly develop more intensely than in the first half-year.	1
Bayer AG Board of Management Forward-looking statements This news release contains forward-looking statements based on current assumptions and forecasts made by Bayer Group management.	1
In May 2016 SANDPIPER acquired Singapore-based cashless payment company, GoGORILLA.	1
With this share buyback program, the Executive Board pursues a balanced use of the proceeds from the sale of International Securities Exchange Holdings, Inc. in the amount of around EUR 1 billion in 2016.	1
This was expected and inevitable in view of the events of 11th September 2001.	0
From the middle of the year the management expects an improved cost situation for Bremen, because then the combined heating and power plant that has been converted to run on substitute fuels will be supplying energy at lower costs.	1
In particular, the Company's four acquisitions and current six foreign subsidiaries extended the time frame required to reach completion.	0
Thus the subscribed capital of SÜDZUCKER will be increased from Euro 174,787,946 by Euro 14,565,662 to Euro 189,353,608 by the issue of 14,565,662 new ordinary shares with an attributable par-value of 1.00 Euro each share.	0
Per 8 November 2012, we had repurchased a total of 5.56 % or 2,954,739 shares of our own stock.	1
After working for Dresdner Bank for nine years, Mr. Brüning held leading positions in several industrial companies.	1
Approximately $ 40 million will be invested in the capacity expansion.	1
Ad-hoc announcement § 15 WpHG First half of 2013 alstria's business develops according to plan in the first six months 2013 - Revenues after first six months at EUR 52.2 m (+5.9 %) and FFO at EUR 25.2 m (+21.5 %) - EPRA NAV per share at EUR 10.97 - EPRA vacancy rate drops to 7.4 % - Full year guidance confirmed Hamburg, August 5, 2013 - alstria office REIT-AG (symbol: AOX, ISIN: DE000A0LD2U1), the leading German office REIT, announces its result for the first six months of 2013.	1
On current projections, fuel costs will decrease by about EUR 350m in the second half-year.	1
The new shares will be offered in a private placement to institutional investors as well as other domestic and international investors under the directives of the applicable rules for private placements in an accelerated bookbuilding process.	0
The net loss for the year was CHF (13.6) million (2012: Loss CHF (14.9) million), a reduction of 9.1 %, in spite of higher depreciation charges associated with the main production facility in Germany and higher finance charges associated with the capital that was raised.	0
The private placement will commence on 13 May 2014 and expire no later than 14 May 2014.	0
InFin Innovative Finance AG: Contract signed with Mars One The Board of Directors of InFin Innovative Finance AG (Basel, Switzerland) will execute the previously approved capital increase consisting of all the paid up shares of Mars One Merchandise Plc (London, United Kingdom) and acquire the first 3 percent on 7 October 2016 by means of a capital increase against contribution in-kind.	0
OUTLOOK We expect to maintain our strong revenue momentum in financial year 2011 and, at this stage in the year, we expect organic full year revenue growth - excluding any impact from the acquisition of SiTel announced today - to be in line with current market expectations.	1
By acquiring a complementary competitor with skilled staff, efficient production and, ideally, its own distribution structure and brand presence, Ultrasonic could generate further growth in the short term by extending its brand portfolio, integrating new production capacity and gaining new distribution channels.	1
The main category of the offered insurances is in the field of automobile damage and third party insurance, legal costs insurance, household contents insurance and guarantees.	1
Participants in the Solicitation NYSE Euronext, Deutsche Boerse AG, Holding and their respective directors and executive officers and other members of management and employees may be deemed to be participants in the solicitation of proxies from NYSE Euronext stockholders in respect of the proposed business combination transaction.	1
Revenues have declined over a nine month period by 8 per cent to EUR 286.4 million (EUR 312.0 million).	0
It aims at further integration, improvement of decision making processes and cost savings through the Headquarters, the Divisions and the interaction between Headquarters and the Divisions.	1
The supervisory board will adopt a decision about this in its meeting on September 9th, 2015.	1
At the same time, however, the scale of improvements seen at the Swiss facility during the first quarter was not as pronounced as expected in the subsequent period.	0
Additional Information This communication constitutes neither an offer to sell nor a solicitation to buy any securities of Bayer or its subsidiaries.	1
The transaction will be managed by Norddeutsche Landesbank Girozentrale, Hannover in conjunction with Viscardi Securities Wertpapierhandelsbank GmbH, Munich.	1
The company will continue to vigorously defend its intellectual property.	1
The company is very well-positioned for the new third format generation of optical discs, HD-DVD and Blu ray, due to the partnerships it has forged with the major drivers Memory-Tech for HD-DVD and Sony for Blu ray.	1
Akorn's largest shareholder, who beneficially controls approximately 25 % of its shares, has committed to supporting the transaction.	1
Our business continues to be driven by the success of our growing range of 3G/HSPA integrated power management and audio products, and our customer base now includes six Cellular customers.	1
The issuer is responsible for the contents of the release.	1
With this appointment, the Executive Board of Wacker Neuson SE will comprise three members.	1
-- Berlin, Munich/Grasbrunn April 27, 2006 -- In the first quarter of the financial year 2006, Wire Card AG generated 16.9 million euros in sales revenues and 3.8 million euros in earnings before interest and taxes (EBIT).	1
euromicron AG (www.euromicron.de) is an all-round solution provider for communications, data and security networks.	1
Publication of insider information pursuant to Article 17 of the Market Abuse Regulation (Regulation (EU) No. 596/2014) ADLER Real Estate AG successfully places 10 million convertible notes 2016/2021, initial conversion price fixed at EUR 13.79 per note Hamburg, 11 July, 2016: Following the closing of the accelerated book - building process ADLER Real Estate AG (the `` Company'') announces that all 10 million convertible notes 2016/2021 (the `` Notes'') have been successfully placed with institutional investors, subject to claw back with respect to the exercise of subscription rights by the Company's shareholders.	1
The securities are being sold in reliance on Regulation S under the US Securities Act of 1933, as amended (the ` Securities Act'), only.	1
Siemens is acquiring the Rolls-Royce Energy aero-derivative gas turbine and compressor business and thereby strengthening its position in the growing oil and gas industry as well as in the field of decentralized power generation.	1
Capitalized resource property expenditures (cash and non-cash) for year ending June 30, 2010, were $ 6,333,381, which were partially offset by write-offs of $ 2,991,908 in other resource properties that the Company decided did not merit further development, The current fiscal year resource property expenditures compare to $ 8,770,318 for the 2009 fiscal year, reflecting a reduced level of exploration and development activity in the current fiscal year, primarily as a result of the government suspension of exploration and mining activity in Ecuador.	0
In order to achieve further cost reductions, the registered offices of the wholly-owned subsidiary PTM Entertainment GmbH were moved from Hamburg to the group's headquarters in Dortmund in the second half.	1
The negotiations are in a very early stage, and it is not secured whether a transaction with the Somani Group for the financial restructuring of the Company is going to materialize.	0
The information of the further progression of the buyback program will be published on the web site of Amadeus FiRe (http://www.amadeus-fire.de) in the category of `` investor relations''.	1
Additionally, R&D expenses were accelerated to 3.4 m EUR (2002: 2.4 m EUR) in Q1 following further progress in OVPD and Tricent technology developments.	0
The operating result before goodwill amortization (EBITA) amounted to EUR 6.0 million in the reporting period (previous year: EUR 6.2 million).	0
Financial security At the end of the first quarter, the Gauss Group's shareholders' equity amounted to EUR 7.5 million (previous year EUR 9.5 million) or 34,4 % of the balance sheet total.	0
For purposes of these measures, BoxDirect AG will publish a public offer to BoxDirect AG's financing partners.	1
The consolidated earnings before taxes (EBT) amounted to EUR 14,6 m. (previous year EUR 60,0 m.).	0
Thanks to a fast progress of its efficiency programme, Eurofins reached a strong 4th quarter (Q4 / 2004 EBITDA * - margin reached 23.9 % of sales).	1
Sustained growth abroad Foreign business, which makes up 58.3 % of total sales, generated a total of 43.7 million euros (previous year: 37.0 million euros).	1
Growth in unit sales is also indicated for Eastern Europe, but is expected to return to a moderate level by the end of 2008.	0
This loss allocation would trigger a total loss for Credit Linked Notes Classes A2, B, C, D and E, and would reduce the nominal amount of Class A1 + (of GBP 400,000) by approximately 0.1 %.	0
Truck24 also sees great potential in Poland and the Netherlands.	1
Outlook The EADS guidance is based on a closing spot rate at year-end 2008 of eur 1 = US$ 1.45.	1
Discontinued operations Net loss from discontinued operations includes the operating results of the Chrysler Group and the related financial services business in North America as well as the net interest result and income taxes related to these activities until August 3, 2007, and amounted to $ 530 million (Q3 2006: net loss of $ 237 million).	0
Sempla is a service provider that specialises in IT solutions for commercial and private banking clients.	1
On this basis, the Executive Board of JENOPTIK AG today raised its forecasts for the full fiscal year 2012.	1
Further uncertainties result from the impact on international flows of goods and supply chains from business interruptions suffered by Japanese industrial producers.	0
Logwin AG will publish the half-year financial report directly.	1
Nemetschek AG, the leading IT vendor for the design, construction and management of buildings and real estate, continues to suffer the consequences of the economical and structural crisis in the construction industry and reluctance to invest in the IT sector.	0
The products are targeted at non-professionals as well as professionals, and go beyond the limits of personal computers to seamlessly integrated online and mobile phone applications.	1
Download of the Financial Report 2010: http://www.edisunpower.com/en/home-en/investors-en/reporting Information and Explaination of the Issuer to this News: The Edisun Power Group As a listed European solar power producer, the Edisun Power Group develops, finances and operates solar power plants in various European countries.	1
In 2010 HOH contributed around EUR 61 million to the consolidated revenue of EUR 550 million.	1
HAMBURG, February 11, 2009 -- alstria office REIT-AG (symbol: AOX, ISIN: DE000A0LD2U1), an internally managed Real Estate Investment Trust (REIT) which is solely focused on acquiring, owning and managing office real estate in Germany, has successfully adapted its main corporate loan facility agreement increasing its LTV covenant from 60 % to 65 % and decreasing its Interest Cover Ratio covenant from 160 % to 130 %.	1
The marketing of Epo-zeta by the specialty supplier of hospital and clinic products, Hospira, promises to take full advantage of the marketing potential for this product, and not only in the EU, but also, in the future particularly in Hospira's home market, in the USA.	1
EADS uses EBIT pre-goodwill impairment and exceptionals as a key indicator of its economic performance.	1
Including the contribution to earnings from the sale of ACCURAT (discontinued operation), which was successfully concluded in the second quarter, All for One Midmarket AG achieved 9-month earnings of EUR 2.7 million (9 months 2007: EUR 0.7 million).	1
This will result on the one hand from the positive development of some Asian markets and on the other hand from higher unit sales in Europe -- primarily due to the growth of markets in Eastern Europe.	1
The new shares were sold using the simplified exclusion of subscription rights in an accelerated bookbuilding process and a private placement without prospectus.	0
Another step in the e-management strategy of the enterprise is constituted by the replacement of a large number of the members of the staff and the management team of IntraWare (Schweiz) AG.	1
The pressure on the A400M programme remains and we are conducting ambitious efforts to tackle both the industrial and commercial challenges in discussion with our customers and suppliers.	0
Management anticipates that the fourth-quarter release of the new ArchiCAD version will help regenerate revenue growth substantially, toward the end of this year through the first part of next year, in line with the introduction dates of the localized product versions.	1
There is now a total of three contestation suites pending against the resolution adopted by the Extraordinary Shareholders' Meeting in respect of the amendment of the Company's Articles of Association permitting the creation of authorized capital I.	0
The preliminary operating result, excluding special items, came to EUR -130 million at the end of the financial year (previous year: EUR -49 million) and was thus in line with the most recent forecast.	0
These risks and uncertainties include, for example, unforeseeable changes in political, economic and business conditions, particularly in the area of electrosteel production, the competitive situation, interest rate and currency developments, technological developments and other risks and unanticipated circumstances.	0
Capital Increase The Executive Board of AIXTRON AG has agreed, with the consent of the Supervisory Board, to increase the Company's share capital by utilizing its authorized capital of up to EUR 8,979,937.00 by issuing up to 8,979,937 new no-par value registered shares, corresponding to approximately 9.8 % of the current share capital, for cash.	0
We were informed by Red & Black Lux S.A  r.l. that the company intends to place up to 7.9 million shares of HUGO BOSS AG in an accelerated bookbuilding process.	1
STADA will keep both the capital markets and the public updated on tangible development in this regard, in line with the applicable legal requirements.	1
The annual report with the final figures for the financial year 2009 will be published on 25 March 2010 and will be available at www.cancom.de (interim disclosure pursuant to Section 37v paragraph 1, sentence 2 of the German Securities Trading Act (Wertpapierhandelsgesetz, WPHG)).	1
Takeover Offer REG European Holdings B.V. with its seat in Schiphol, The Netherlands (`` Bidder''), an indirectly wholly-owned subsidiary of Renewable Energy Group, Inc., Ames, Iowa, USA, has today informed PETROTEC AG (`` Petrotec'') about its decision to launch a voluntary public takeover offer for all outstanding Petrotec shares and has announced this decision publicly in advance.	1
During the three-month Schutzschirmverfahren period the company is protected from foreclosures and other enforcement measures by creditors and retains its capacity to conduct business.	1
In the third quarter 2004 the turnover exceeded budget by 6.0 % and is up to 22.1 mill.	0
The new agreement grants Unity Media long-term marketing rights for Premiere's programming packages until 2017.	1
Adjusted to take account of the sale of acadGraph, this represents growth of 6.4 %.	1
Subject to the approval by the BaFin, a securities prospectus is expected to be published on January 11, 2010 and will be available subsequently at Continental AG.	1
The portfolios in the Non-Core Assets (NCA) segment are to be reduced until 2016 by more than 40 %, essentially without any sales and while protecting their value.	0
- Stable Service revenues +0.4 % to EUR139.6 million (H1 2013: EUR139.0 million) - Gross profit +21.2 % to EUR68.0 million (H1 2013: EUR56.1 million) - EBITDA +24.2 % to EUR42.4 million (H1 2013: EUR34.1 million) - MVNO subscribers +13.9 % to 1.815 million (H1 2013: 1.593 million) - Thereof budget subscribers +55.7 % to 1.023 million (H1 2013: 657,000) - Average gross profit per MVNO user (AGPPU) +7.5 % to EUR6.43 (H1 2013: EUR5.98) - MBA MVNO contract opens up additional growth opportunities Maintal, 13 August 2014 - Drillisch AG (ISIN DE 0005545503) has once more significantly increased the major performance indicators and thus further improved the earning power of the company in a difficult and challenging market environment.	1
Adjusted for the gross proceeds of the Offering, Erste Group has a pro forma core tier 1 ratio of 7.9 % as of 30 September 2009, at the same time the reported tier 1 ratio (credit risk) improved from 8.6 % to pro forma 10.2 % as of 30 September 2009.	1
Added to that are expenses for no longer needed interest rate swaps and impairment losses on the book value of investments (Euro 11 million).	0
In 2011, the Group - comprising Airbus, Astrium, Cassidian and Eurocopter - generated revenues of EUR 49.1 billion and employed a workforce of over 133,000.	1
Revocation of the admission to the Prime Standard of the regulated market with additional post-admission obligations shall become effective within three months after publication of the revocation decision of the stock exchange management of the Frankfurt Stock Exchange on the Internet (www.deutsche-boerse.com).	0
----- JENOPTIK AG issues five-year convertible bond.	1
The adjusted EBITDA margin increased from 32.8 percent to 33.5 percent.	1
In this list SolarWorld AG is nominated as a pioneer in the development and production of carbon-free energies.	1
The Group's order intake (4) of EUR 58.1 billion (H1 2010: EUR 30.8 billion) primarily benefited from an environment of continued strong passenger traffic combined with the strength of EADS' enhanced product portfolio.	1
The total number of equity investments was 32, the same figure as in fiscal year 1999/2000.	1
Dr. Bernhard is to have Board of Management responsibility for Mercedes-Benz Cars Production and Procurement and for the Mercedes-Benz Vans division.	1
He will be succeeded as CEO as of the same date by Timm Degenhardt (48), who is joining from the Swiss telecommunications provider Sunrise Communications AG where he was most recently member of the management board responsible for the consumer business.	1
The shareholders will be granted their statutory pre-emption rights.	1
However, the momentum of EADS' institutional and governmental business in the first three months was encouraging.	1
Impairments totaled EUR 144 million on the RMBS portfolio, and EUR 55 million on Corporate CDOs.	0
The repurchased shares are to be cancelled, and the share capital of the company reduced accordingly.	0
` Furthermore it will enhance the profitability of our K + K America division'.	1
The proposed acquisition is to be effected by way of a scheme of arrangement under Irish law.	1
The Supervisory Board had mandated an efficiency audit with regard to their role in the Steel Americas projects for their meeting on November 20, 2012.	1
The loss per share for the first 6 months is -0,24 Euro (last year -0,45 Euro).	0
Baar, September 05, 2012 - Swiss Medical Solution AG (SMS) has been sold entirely to the Swedish company Svenska Cellulosa Aktiebolaget (SCA).	1
Bad Neustadt a.d. Saale, 11 November 2009 ----- RHÖN-KLINIKUM AG will acquire an interest of 94 % in MEDIGREIF-Betriebsgesellschaft für KrankenhÃ¤user und integrative Gesundheitszentren mbH with effect from 1 January 2010.	1
